 time           time           v(p)           v(s0)          v(s1)          v(w_mem)       v(n)          
 5.0000000e-10  5.0000000e-10  3.1415926e-04  4.7237839e-13  4.7401812e-13  5.0000000e-01  1.5865043e-06 
 5.4200000e-10  5.4200000e-10  3.4054864e-04  5.1539128e-13  5.1718032e-13  5.0000000e-01  1.7197707e-06 
 6.2600001e-10  6.2600001e-10  3.9332740e-04  6.0808327e-13  6.1019406e-13  5.0000000e-01  1.9863034e-06 
 7.9400002e-10  7.9400002e-10  4.9888492e-04  8.3346445e-13  8.3635759e-13  5.0000000e-01  2.5193688e-06 
 1.1300000e-09  1.1300000e-09  7.0999995e-04  1.4442157e-12  1.4492289e-12  5.0000000e-01  3.5854997e-06 
 1.8020001e-09  1.8020001e-09  1.1322300e-03  3.3056735e-12  3.3171482e-12  5.0000000e-01  5.7177614e-06 
 3.1460002e-09  3.1460002e-09  1.9766899e-03  9.5884081e-12  9.6216917e-12  5.0000000e-01  9.9822839e-06 
 5.8340003e-09  5.8340003e-09  3.6656085e-03  3.2393124e-11  3.2505568e-11  5.0000000e-01  1.8511323e-05 
 1.1210001e-08  1.1210001e-08  7.0434366e-03  1.1895912e-10  1.1937205e-10  5.0000000e-01  3.5569355e-05 
 2.1962001e-08  2.1962001e-08  1.3799023e-02  4.5591086e-10  4.5749343e-10  5.0000000e-01  6.9685066e-05 
 4.3466003e-08  4.3466003e-08  2.7309646e-02  1.7849925e-09  1.7911886e-09  5.0000000e-01  1.3791371e-04 
 5.0000000e-08  5.0000000e-08  3.1414635e-02  2.3618101e-09  2.3700084e-09  5.0000000e-01  1.5864391e-04 
 5.4300800e-08  5.4300800e-08  3.4116544e-02  2.8028917e-09  2.8126212e-09  5.0000000e-01  1.7228855e-04 
 6.2902401e-08  6.2902401e-08  3.9520172e-02  3.7548591e-09  3.7678931e-09  5.0000000e-01  1.9957687e-04 
 8.0105602e-08  8.0105602e-08  5.0326521e-02  6.0774687e-09  6.0985650e-09  5.0000000e-01  2.5414894e-04 
 1.1451200e-07  1.1451200e-07  7.1934495e-02  1.2395611e-08  1.2438639e-08  5.0000001e-01  3.6326921e-04 
 1.6451200e-07  1.6451200e-07  1.0331993e-01  2.5542701e-08  2.5631365e-08  5.0000002e-01  5.2176566e-04 
 2.1451200e-07  2.1451200e-07  1.3467987e-01  4.3361859e-08  4.3512378e-08  5.0000003e-01  6.8013338e-04 
 2.6451200e-07  2.6451200e-07  1.6600658e-01  6.5812373e-08  6.6040823e-08  5.0000004e-01  8.3833330e-04 
 3.1451200e-07  3.1451200e-07  1.9729233e-01  9.2845646e-08  9.3167934e-08  5.0000006e-01  9.9632640e-04 
 3.6451200e-07  3.6451200e-07  2.2852941e-01  1.2440387e-07  1.2483570e-07  5.0000008e-01  1.1540737e-03 
 4.1451200e-07  4.1451200e-07  2.5971009e-01  1.6042051e-07  1.6097737e-07  5.0000010e-01  1.3115362e-03 
 4.6451200e-07  4.6451200e-07  2.9082670e-01  2.0082093e-07  2.0151802e-07  5.0000013e-01  1.4686752e-03 
 5.1451200e-07  5.1451200e-07  3.2187155e-01  2.4552293e-07  2.4637519e-07  5.0000016e-01  1.6254518e-03 
 5.6451200e-07  5.6451200e-07  3.5283698e-01  2.9443747e-07  2.9545953e-07  5.0000019e-01  1.7818274e-03 
 6.1451200e-07  6.1451200e-07  3.8371536e-01  3.4746934e-07  3.4867549e-07  5.0000023e-01  1.9377634e-03 
 6.6451200e-07  6.6451200e-07  4.1449906e-01  4.0451789e-07  4.0592207e-07  5.0000026e-01  2.0932213e-03 
 7.1451200e-07  7.1451200e-07  4.4518048e-01  4.6547773e-07  4.6709351e-07  5.0000030e-01  2.2481628e-03 
 7.6451200e-07  7.6451200e-07  4.7575207e-01  5.3023948e-07  5.3208006e-07  5.0000034e-01  2.4025496e-03 
 8.1451200e-07  8.1451200e-07  5.0620627e-01  5.9869045e-07  6.0076864e-07  5.0000039e-01  2.5563436e-03 
 8.6451200e-07  8.6451200e-07  5.3653557e-01  6.7071541e-07  6.7304362e-07  5.0000044e-01  2.7095070e-03 
 9.1451200e-07  9.1451200e-07  5.6673250e-01  7.4619719e-07  7.4878741e-07  5.0000049e-01  2.8620018e-03 
 9.6451200e-07  9.6451200e-07  5.9678958e-01  8.2501737e-07  8.2788119e-07  5.0000054e-01  3.0137906e-03 
 1.0145120e-06  1.0145120e-06  6.2669942e-01  9.0705685e-07  9.1020545e-07  5.0000059e-01  3.1648357e-03 
 1.0645120e-06  1.0645120e-06  6.5645463e-01  9.9219648e-07  9.9564062e-07  5.0000065e-01  3.3151001e-03 
 1.1145120e-06  1.1145120e-06  6.8604787e-01  1.0803175e-06  1.0840675e-06  5.0000070e-01  3.4645465e-03 
 1.1645120e-06  1.1645120e-06  7.1547184e-01  1.1713022e-06  1.1753680e-06  5.0000076e-01  3.6131382e-03 
 1.2145120e-06  1.2145120e-06  7.4471928e-01  1.2650340e-06  1.2694252e-06  5.0000082e-01  3.7608384e-03 
 1.2645120e-06  1.2645120e-06  7.7378296e-01  1.3613982e-06  1.3661239e-06  5.0000089e-01  3.9076107e-03 
 1.3145120e-06  1.3145120e-06  8.0265573e-01  1.4602822e-06  1.4653511e-06  5.0000095e-01  4.0534190e-03 
 1.3645120e-06  1.3645120e-06  8.3133046e-01  1.5615757e-06  1.5669963e-06  5.0000102e-01  4.1982271e-03 
 1.4145120e-06  1.4145120e-06  8.5980006e-01  1.6651711e-06  1.6709513e-06  5.0000108e-01  4.3419995e-03 
 1.4645120e-06  1.4645120e-06  8.8805753e-01  1.7709637e-06  1.7771111e-06  5.0000115e-01  4.4847006e-03 
 1.5145120e-06  1.5145120e-06  9.1609588e-01  1.8788516e-06  1.8853735e-06  5.0000122e-01  4.6262952e-03 
 1.5645120e-06  1.5645120e-06  9.4390819e-01  1.9887363e-06  1.9956397e-06  5.0000129e-01  4.7667484e-03 
 1.6145120e-06  1.6145120e-06  9.7148761e-01  2.1005225e-06  2.1078138e-06  5.0000137e-01  4.9060256e-03 
 1.6645120e-06  1.6645120e-06  9.9882733e-01  2.2141180e-06  2.2218037e-06  5.0000144e-01  5.0440923e-03 
 1.7145120e-06  1.7145120e-06  1.0259206e+00  2.3294343e-06  2.3375203e-06  5.0000152e-01  5.1809144e-03 
 1.7645120e-06  1.7645120e-06  1.0527608e+00  2.4463862e-06  2.4548782e-06  5.0000159e-01  5.3164584e-03 
 1.8145120e-06  1.8145120e-06  1.0793411e+00  2.5648919e-06  2.5737952e-06  5.0000167e-01  5.4506906e-03 
 1.8645120e-06  1.8645120e-06  1.1056552e+00  2.6848728e-06  2.6941926e-06  5.0000175e-01  5.5835780e-03 
 1.9145120e-06  1.9145120e-06  1.1316965e+00  2.8062538e-06  2.8159950e-06  5.0000183e-01  5.7150878e-03 
 1.9645120e-06  1.9645120e-06  1.1574585e+00  2.9289633e-06  2.9391303e-06  5.0000191e-01  5.8451875e-03 
 2.0145120e-06  2.0145120e-06  1.1829350e+00  3.0529324e-06  3.0635298e-06  5.0000199e-01  5.9738450e-03 
 2.0645120e-06  2.0645120e-06  1.2081196e+00  3.1780959e-06  3.1891278e-06  5.0000207e-01  6.1010287e-03 
 2.1145120e-06  2.1145120e-06  1.2330061e+00  3.3043913e-06  3.3158616e-06  5.0000215e-01  6.2267070e-03 
 2.1645120e-06  2.1645120e-06  1.2575884e+00  3.4317592e-06  3.4436716e-06  5.0000223e-01  6.3508491e-03 
 2.2145120e-06  2.2145120e-06  1.2818604e+00  3.5601430e-06  3.5725010e-06  5.0000232e-01  6.4734242e-03 
 2.2645120e-06  2.2645120e-06  1.3058161e+00  3.6894890e-06  3.7022961e-06  5.0000240e-01  6.5944022e-03 
 2.3145120e-06  2.3145120e-06  1.3294496e+00  3.8197462e-06  3.8330054e-06  5.0000248e-01  6.7137531e-03 
 2.3645120e-06  2.3645120e-06  1.3527551e+00  3.9508660e-06  3.9645803e-06  5.0000257e-01  6.8314476e-03 
 2.4145120e-06  2.4145120e-06  1.3757268e+00  4.0828024e-06  4.0969747e-06  5.0000266e-01  6.9474566e-03 
