R_on,R_off
376.794779839308,7610.63401038992
445.140561131405,16371.8873795824
295.114604109682,32738.877955996
906.768796281002,25379.0754488032
560.128734080693,58352.7823074857
736.617226469281,29193.6315586319
749.157194585577,36684.9484171546
744.794664663192,76889.5848345553
609.460255164643,25780.9473702598
498.020893700646,37944.5960982877
494.897574148058,43184.9005725816
547.468455077211,47299.9528042239
566.958148732271,90437.6572132416
600.790263416884,14225.3838990025
12601.8266570911,19058.562801286
345.163013713904,8484.84527116679
507.929193895756,15264.8414185808
312.467700406674,16575.1659482914
252.964785870969,19705.3290416375
380.223396000586,21987.6977016549
405.290793990278,23301.3583766065
514.554760438943,18859.9296548369
508.361792119133,22827.677651691
381.685138027547,43401.5584195762
312.955650677631,28707.1712642039
384.222072205,25769.4669423661
379.421703042176,26158.0872457538
334.193029843683,36575.1287154797
394.866454368788,33492.398278122
392.940319276727,23743.8209041667
252.47145331491,27859.0795037005
326.624323183344,60842.6756443938
373.425984255562,39821.2190763167
363.533915930132,18018.0301980298
384.504817928981,2704.62156548676
21685.3947831153,39124.9638524034
310.323873471071,43788.3487650282
265.053358439024,53950.5785382625
246.390056206903,34086.7149453858
352.328223099698,45793.2225357326
350.108710599733,55266.2446593649
495.482064451227,37530.0967336104
561.352832704963,66903.0647780772
31240.1466484181,67472.056488149
234.744089627012,30491.6259958117
329.5090008139,20483.6558953647
37746.3373149661,42950.5292550748
297.948931026379,17627.8891280844
255.640892943461,13394.7659992663
344.018398516103,18002.3194692654
364.03531423659,19736.9519245612
405.066468423083,22910.4565729549
376.031743624072,25476.8522056996
401.938665518395,29125.7099921914
422.748819345604,38652.4463552701
413.634175591689,43675.6100085403
394.610503839672,63202.3564348098
388.224493084105,67325.6681158319
350.943227147686,49969.6649016131
378.626721464374,70832.4028017962
287.020460888528,77041.2307519827
303.596809063723,88301.0229225864
274.036421918485,29265.1515532856
265.453053467255,24879.3160978105
402.3691582399,48735.1606347293
260.196598956221,35905.2494881433
292.825914097212,65460.7983072651
325.784502154166,67579.1482680492
343.948112690509,70392.2224402681
337.449795908104,22203.430220174
228.235563476106,36353.4681580302
286.110875801538,36900.3077731629
452.105664317807,58296.7518016891
262.206058593273,60180.6889855111
347.393285754784,103116.112874137
307.283431770307,88527.9530722275
248.037621153871,57330.4594970718
384.37986147453,39835.3577775039
423.568367240016,53704.5367964374
636.884293870952,36755.9205124446
292.119853027569,23988.3993844024
387.289622475412,38129.8947835856
560.882473987163,75826.9576917467
304.662847830125,67985.7836807402
330.768977099753,50048.392990659
70729.6588711551,48281.5504365603
367.860629866548,57220.678442188
426.997731774787,78579.0418378938
297.465257118507,35390.1450726302
454.458283262853,79223.1489938735
307.371697775465,84735.0756753471
338.15279071667,143422.929918438
31663.5139795668,42960.8291512415
445.754488730569,28402.8033918452
448.717493755321,29385.992121457
436.672715188923,33012.6945650255
373.585346036055,60122.3318829668
331.15487361806,56908.9831022352
335.834999374946,60115.9423951026
271.500810202186,83982.4157547659
348.855726044237,38850.3061495371
80160.9358032163,125052.984929966
85633.4403150686,123102.780752364
109544.678347364,113733.985197153
92331.8860874239,112162.146712807
95134.2437824867,122027.603296014
97044.7254199547,106474.795612621
99829.7051432176,126963.614228405
