Cycle No.	Current
Cycle	A
1	1.50970458984375E-5
1	0.0011468505859375
2	1.0406494140625E-5
2	0.00112701416015625
3	1.0101318359375E-5
3	0.00108673095703125
4	1.0040283203125E-5
4	0.00103973388671875
5	9.52148437499994E-6
5	9.954833984375E-4
6	9.27734375000003E-6
6	9.552001953125E-4
7	9.36889648437494E-6
7	9.1888427734375E-4
8	9.03320312499997E-6
8	8.8470458984375E-4
9	9.12475585937503E-6
9	8.5418701171875E-4
10	8.97216796875003E-6
10	8.2733154296875E-4
11	8.75854492187495E-6
11	8.013916015625E-4
12	8.697509765625E-6
12	7.7728271484375E-4
13	8.57543945312497E-6
13	7.562255859375E-4
14	8.57543945312497E-6
14	7.3516845703125E-4
15	8.63647460937506E-6
15	7.177734375E-4
16	9.002685546875E-6
16	6.9915771484375E-4
17	9.55200195312506E-6
17	6.8328857421875E-4
18	9.67407226562494E-6
18	6.671142578125E-4
19	9.918212890625E-6
19	6.53076171875E-4
20	9.765625E-6
20	6.38427734375E-4
21	9.67407226562494E-6
21	6.2469482421875E-4
22	9.52148437499994E-6
22	6.1187744140625E-4
23	9.70458984375006E-6
23	6.0028076171875E-4
24	9.73510742187503E-6
24	5.8807373046875E-4
25	9.613037109375E-6
25	5.7769775390625E-4
26	9.613037109375E-6
26	5.6640625E-4
27	9.39941406250006E-6
27	5.56640625E-4
28	9.42993164062503E-6
28	5.462646484375E-4
29	9.24682617187506E-6
29	5.3680419921875E-4
30	9.27734375000003E-6
30	5.2825927734375E-4
31	9.27734375000003E-6
31	5.1971435546875E-4
32	9.09423828125006E-6
32	5.1116943359375E-4
33	9.09423828125006E-6
33	5.029296875E-4
34	9.21630859374995E-6
34	4.9591064453125E-4
35	9.09423828125006E-6
35	4.89044189453125E-4
36	8.97216796875003E-6
36	4.8175048828125E-4
37	8.85009765625E-6
37	4.75067138671875E-4
38	8.85009765625E-6
38	4.68109130859375E-4
39	8.78906250000006E-6
39	4.6173095703125E-4
40	8.94165039062506E-6
40	4.55657958984375E-4
41	8.81958007812503E-6
41	4.4970703125E-4
42	8.91113281249995E-6
42	4.43939208984375E-4
43	9.002685546875E-6
43	4.3841552734375E-4
44	8.78906250000006E-6
44	4.32830810546875E-4
45	8.75854492187495E-6
45	4.2755126953125E-4
46	8.94165039062506E-6
46	4.224853515625E-4
47	8.94165039062506E-6
47	4.1748046875E-4
48	8.75854492187495E-6
48	4.12322998046875E-4
49	8.48388671875005E-6
49	4.0765380859375E-4
50	8.60595703124994E-6
50	4.0325927734375E-4
51	8.63647460937506E-6
51	3.98834228515625E-4
52	8.72802734374997E-6
52	3.94561767578125E-4
53	8.697509765625E-6
53	3.9044189453125E-4
54	8.75854492187495E-6
54	3.8623046875E-4
55	8.63647460937506E-6
55	3.82476806640625E-4
56	8.63647460937506E-6
56	3.78509521484375E-4
57	8.63647460937506E-6
57	3.74725341796875E-4
58	8.63647460937506E-6
58	3.7115478515625E-4
59	8.72802734374997E-6
59	3.67523193359375E-4
60	8.85009765625E-6
60	3.63922119140625E-4
61	8.60595703124994E-6
61	3.604736328125E-4
62	8.57543945312497E-6
62	3.57177734375E-4
63	8.85009765625E-6
63	3.53912353515625E-4
64	8.66699218750003E-6
64	3.50830078125E-4
65	8.60595703124994E-6
65	3.47686767578125E-4
66	8.72802734374997E-6
66	3.44757080078125E-4
67	8.66699218750003E-6
67	3.4173583984375E-4
68	8.66699218750003E-6
68	3.3880615234375E-4
69	8.66699218750003E-6
69	3.358154296875E-4
70	8.51440429687503E-6
70	3.33038330078125E-4
71	8.57543945312497E-6
71	3.3050537109375E-4
72	8.45336914062494E-6
72	3.27545166015625E-4
73	8.392333984375E-6
73	3.24981689453125E-4
74	8.48388671875005E-6
74	3.2257080078125E-4
75	8.57543945312497E-6
75	3.20098876953125E-4
76	8.544921875E-6
76	3.17626953125E-4
77	8.63647460937506E-6
77	3.15399169921875E-4
78	8.51440429687503E-6
78	3.1298828125E-4
79	8.42285156249997E-6
79	3.10638427734375E-4
80	8.57543945312497E-6
80	3.08349609375E-4
81	8.36181640625003E-6
81	3.060302734375E-4
82	8.51440429687503E-6
82	3.04107666015625E-4
83	8.51440429687503E-6
83	3.0181884765625E-4
84	8.23974609375E-6
84	2.996826171875E-4
85	8.392333984375E-6
85	2.97576904296875E-4
86	8.48388671875005E-6
86	2.95745849609375E-4
87	8.33129882812506E-6
87	2.93701171875E-4
88	8.42285156249997E-6
88	2.91961669921875E-4
89	8.392333984375E-6
89	2.90069580078125E-4
90	8.48388671875005E-6
90	2.8814697265625E-4
91	8.392333984375E-6
91	2.86285400390625E-4
92	8.45336914062494E-6
92	2.8460693359375E-4
93	8.57543945312497E-6
93	2.82928466796875E-4
