Voltage	Current	Upper Vertex
V	A	V
-0.00244140625	2.099609375E-7	0.25 V
-0.0048828125	1.1474609375E-7	0.25 V
-0.00732421875	-1.4129638671875E-7	0.25 V
-0.009765625	-1.580810546875E-7	0.25 V
-0.01220703125	-5.67626953125E-8	0.25 V
-0.0146484375	-1.4373779296875E-7	0.25 V
-0.01708984375	-2.288818359375E-8	0.25 V
-0.01953125	-1.6693115234375E-7	0.25 V
-0.02197265625	-2.081298828125E-7	0.25 V
-0.0244140625	3.0517578125E-9	0.25 V
-0.02685546875	-1.861572265625E-7	0.25 V
-0.029296875	-3.9886474609375E-7	0.25 V
-0.03173828125	-5.181884765625E-7	0.25 V
-0.0341796875	-4.046630859375E-7	0.25 V
-0.03662109375	-4.96826171875E-7	0.25 V
-0.0390625	-5.7647705078125E-7	0.25 V
-0.04150390625	-7.5897216796875E-7	0.25 V
-0.0439453125	-5.9417724609375E-7	0.25 V
-0.04638671875	-5.438232421875E-7	0.25 V
-0.048828125	-6.9549560546875E-7	0.25 V
-0.05126953125	-8.7554931640625E-7	0.25 V
-0.0537109375	-6.2347412109375E-7	0.25 V
-0.05615234375	-6.7657470703125E-7	0.25 V
-0.05859375	-9.58251953125E-7	0.25 V
-0.06103515625	-1.002197265625E-6	0.25 V
-0.0634765625	-7.3394775390625E-7	0.25 V
-0.06591796875	-1.05224609375E-6	0.25 V
-0.068359375	-9.2742919921875E-7	0.25 V
-0.07080078125	-9.814453125E-7	0.25 V
-0.0732421875	-1.15570068359375E-6	0.25 V
-0.07568359375	-9.649658203125E-7	0.25 V
-0.078125	-1.00311279296875E-6	0.25 V
-0.08056640625	-1.190185546875E-6	0.25 V
-0.0830078125	-1.20819091796875E-6	0.25 V
-0.08544921875	-1.05316162109375E-6	0.25 V
-0.087890625	-1.219482421875E-6	0.25 V
-0.09033203125	-1.50909423828125E-6	0.25 V
-0.0927734375	-1.378173828125E-6	0.25 V
-0.09521484375	-1.51397705078125E-6	0.25 V
-0.09765625	-1.435546875E-6	0.25 V
-0.10009765625	-1.656494140625E-6	0.25 V
-0.1025390625	-1.51153564453125E-6	0.25 V
