Voltage	Current	Upper Vertex
V	A	V
-0.00244140625	-3.885498046875E-6	1.25 V
-0.0048828125	-4.08843994140625E-6	1.25 V
-0.00732421875	-3.92852783203125E-6	1.25 V
-0.009765625	-4.00177001953125E-6	1.25 V
-0.01220703125	-3.836669921875E-6	1.25 V
-0.0146484375	-4.08416748046875E-6	1.25 V
-0.01708984375	-3.9385986328125E-6	1.25 V
-0.01953125	-3.714599609375E-6	1.25 V
-0.02197265625	-4.1796875E-6	1.25 V
-0.0244140625	-4.4097900390625E-6	1.25 V
-0.02685546875	-4.0252685546875E-6	1.25 V
-0.029296875	-4.14794921875E-6	1.25 V
-0.03173828125	-4.17388916015625E-6	1.25 V
-0.0341796875	-4.38262939453125E-6	1.25 V
-0.03662109375	-3.75244140625E-6	1.25 V
-0.0390625	-4.371337890625E-6	1.25 V
-0.04150390625	-4.39605712890625E-6	1.25 V
-0.0439453125	-4.62066650390625E-6	1.25 V
-0.04638671875	-4.3353271484375E-6	1.25 V
-0.048828125	-4.50836181640625E-6	1.25 V
-0.05126953125	-4.56390380859375E-6	1.25 V
-0.0537109375	-4.31060791015625E-6	1.25 V
-0.05615234375	-4.359130859375E-6	1.25 V
-0.05859375	-4.4903564453125E-6	1.25 V
-0.06103515625	-4.849853515625E-6	1.25 V
-0.0634765625	-4.36431884765625E-6	1.25 V
-0.06591796875	-4.508056640625E-6	1.25 V
-0.068359375	-4.82818603515625E-6	1.25 V
-0.07080078125	-4.80010986328125E-6	1.25 V
-0.0732421875	-4.75128173828125E-6	1.25 V
-0.07568359375	-4.75860595703125E-6	1.25 V
-0.078125	-4.95330810546875E-6	1.25 V
-0.08056640625	-4.8040771484375E-6	1.25 V
-0.0830078125	-4.63714599609375E-6	1.25 V
-0.08544921875	-4.86053466796875E-6	1.25 V
-0.087890625	-4.921875E-6	1.25 V
-0.09033203125	-4.70550537109375E-6	1.25 V
-0.0927734375	-5.12542724609375E-6	1.25 V
-0.09521484375	-4.75311279296875E-6	1.25 V
-0.09765625	-4.93927001953125E-6	1.25 V
-0.10009765625	-4.9346923828125E-6	1.25 V
-0.1025390625	-4.8846435546875E-6	1.25 V
-0.10498046875	-5.2081298828125E-6	1.25 V
-0.107421875	-5.1422119140625E-6	1.25 V
-0.10986328125	-4.87762451171875E-6	1.25 V
-0.1123046875	-5.15045166015625E-6	1.25 V
-0.11474609375	-5.31280517578125E-6	1.25 V
-0.1171875	-5.0323486328125E-6	1.25 V
-0.11962890625	-5.22613525390625E-6	1.25 V
-0.1220703125	-5.3924560546875E-6	1.25 V
-0.12451171875	-5.31158447265625E-6	1.25 V
-0.126953125	-5.2197265625E-6	1.25 V
-0.12939453125	-5.465087890625E-6	1.25 V
-0.1318359375	-5.4241943359375E-6	1.25 V
-0.13427734375	-5.5322265625E-6	1.25 V
-0.13671875	-5.30059814453125E-6	1.25 V
-0.13916015625	-5.5224609375E-6	1.25 V
-0.1416015625	-5.5035400390625E-6	1.25 V
-0.14404296875	-5.36895751953125E-6	1.25 V
-0.146484375	-5.2166748046875E-6	1.25 V
-0.14892578125	-5.53558349609375E-6	1.25 V
-0.1513671875	-5.582275390625E-6	1.25 V
-0.15380859375	-5.3424072265625E-6	1.25 V
-0.15625	-5.264892578125E-6	1.25 V
-0.15869140625	-5.9161376953125E-6	1.25 V
-0.1611328125	-5.777587890625E-6	1.25 V
-0.16357421875	-5.41290283203125E-6	1.25 V
-0.166015625	-5.6634521484375E-6	1.25 V
-0.16845703125	-5.72723388671875E-6	1.25 V
-0.1708984375	-5.66314697265625E-6	1.25 V
-0.17333984375	-5.66009521484375E-6	1.25 V
-0.17578125	-5.6781005859375E-6	1.25 V
-0.17822265625	-5.9320068359375E-6	1.25 V
-0.1806640625	-5.926513671875E-6	1.25 V
-0.18310546875	-5.537109375E-6	1.25 V
-0.185546875	-5.96160888671875E-6	1.25 V
-0.18798828125	-6.1419677734375E-6	1.25 V
-0.1904296875	-6.16455078125E-6	1.25 V
-0.19287109375	-6.3385009765625E-6	1.25 V
-0.1953125	-6.79931640625E-6	1.25 V
-0.19775390625	-6.8756103515625E-6	1.25 V
-0.2001953125	-6.689453125E-6	1.25 V
-0.20263671875	-7.1319580078125E-6	1.25 V
-0.205078125	-6.6986083984375E-6	1.25 V
-0.20751953125	-6.842041015625E-6	1.25 V
-0.2099609375	-6.8817138671875E-6	1.25 V
-0.21240234375	-6.4056396484375E-6	1.25 V
-0.21484375	-6.939697265625E-6	1.25 V
-0.21728515625	-6.9000244140625E-6	1.25 V
-0.2197265625	-6.2744140625E-6	1.25 V
-0.22216796875	-6.8084716796875E-6	1.25 V
-0.224609375	-7.080078125E-6	1.25 V
-0.22705078125	-7.3272705078125E-6	1.25 V
-0.2294921875	-7.04345703125E-6	1.25 V
-0.23193359375	-7.012939453125E-6	1.25 V
-0.234375	-7.2723388671875E-6	1.25 V
-0.23681640625	-6.982421875E-6	1.25 V
-0.2392578125	-7.16552734375E-6	1.25 V
-0.24169921875	-7.275390625E-6	1.25 V
-0.244140625	-7.3760986328125E-6	1.25 V
-0.24658203125	-7.4005126953125E-6	1.25 V
-0.2490234375	-7.31201171875E-6	1.25 V
-0.25146484375	-7.0556640625E-6	1.25 V
-0.25390625	-7.2509765625E-6	1.25 V
-0.25634765625	-7.6904296875E-6	1.25 V
-0.2587890625	-7.2113037109375E-6	1.25 V
-0.26123046875	-7.4920654296875E-6	1.25 V
-0.263671875	-7.7117919921875E-6	1.25 V
-0.26611328125	-7.489013671875E-6	1.25 V
-0.2685546875	-7.5042724609375E-6	1.25 V
-0.27099609375	-7.2998046875E-6	1.25 V
-0.2734375	-7.8125E-6	1.25 V
-0.27587890625	-7.647705078125E-6	1.25 V
-0.2783203125	-7.2113037109375E-6	1.25 V
-0.28076171875	-7.26318359375E-6	1.25 V
-0.283203125	-7.830810546875E-6	1.25 V
-0.28564453125	-8.0810546875E-6	1.25 V
-0.2880859375	-7.5439453125E-6	1.25 V
-0.29052734375	-8.1390380859375E-6	1.25 V
-0.29296875	-7.82470703125E-6	1.25 V
-0.29541015625	-7.7728271484375E-6	1.25 V
-0.2978515625	-7.5775146484375E-6	1.25 V
-0.30029296875	-8.0474853515625E-6	1.25 V
-0.302734375	-8.16650390625E-6	1.25 V
-0.30517578125	-8.0108642578125E-6	1.25 V
-0.3076171875	-7.8369140625E-6	1.25 V
-0.31005859375	-7.574462890625E-6	1.25 V
-0.3125	-7.9559326171875E-6	1.25 V
-0.31494140625	-8.1756591796875E-6	1.25 V
-0.3173828125	-7.7606201171875E-6	1.25 V
-0.31982421875	-8.09326171875E-6	1.25 V
-0.322265625	-8.221435546875E-6	1.25 V
-0.32470703125	-7.916259765625E-6	1.25 V
-0.3271484375	-8.026123046875E-6	1.25 V
-0.32958984375	-7.9498291015625E-6	1.25 V
-0.33203125	-8.251953125E-6	1.25 V
-0.33447265625	-8.111572265625E-6	1.25 V
-0.3369140625	-8.5968017578125E-6	1.25 V
-0.33935546875	-8.4442138671875E-6	1.25 V
-0.341796875	-8.294677734375E-6	1.25 V
-0.34423828125	-8.4320068359375E-6	1.25 V
-0.3466796875	-8.48388671875E-6	1.25 V
-0.34912109375	-8.4808349609375E-6	1.25 V
-0.3515625	-8.4930419921875E-6	1.25 V
-0.35400390625	-8.4625244140625E-6	1.25 V
-0.3564453125	-8.5601806640625E-6	1.25 V
-0.35888671875	-8.453369140625E-6	1.25 V
-0.361328125	-8.1573486328125E-6	1.25 V
-0.36376953125	-8.544921875E-6	1.25 V
-0.3662109375	-8.5723876953125E-6	1.25 V
-0.36865234375	-8.7677001953125E-6	1.25 V
-0.37109375	-8.6395263671875E-6	1.25 V
-0.37353515625	-8.831787109375E-6	1.25 V
-0.3759765625	-8.70361328125E-6	1.25 V
-0.37841796875	-8.587646484375E-6	1.25 V
-0.380859375	-8.7493896484375E-6	1.25 V
-0.38330078125	-9.002685546875E-6	1.25 V
-0.3857421875	-8.7310791015625E-6	1.25 V
-0.38818359375	-8.7371826171875E-6	1.25 V
-0.390625	-8.746337890625E-6	1.25 V
-0.39306640625	-8.7310791015625E-6	1.25 V
-0.3955078125	-9.1278076171875E-6	1.25 V
-0.39794921875	-9.0545654296875E-6	1.25 V
-0.400390625	-9.2926025390625E-6	1.25 V
-0.40283203125	-9.63134765625E-6	1.25 V
-0.4052734375	-8.7890625E-6	1.25 V
-0.40771484375	-9.16748046875E-6	1.25 V
-0.41015625	-8.9752197265625E-6	1.25 V
-0.41259765625	-9.0057373046875E-6	1.25 V
-0.4150390625	-8.9508056640625E-6	1.25 V
-0.41748046875	-9.14306640625E-6	1.25 V
-0.419921875	-8.740234375E-6	1.25 V
-0.42236328125	-9.3109130859375E-6	1.25 V
-0.4248046875	-9.2071533203125E-6	1.25 V
-0.42724609375	-9.246826171875E-6	1.25 V
-0.4296875	-9.5367431640625E-6	1.25 V
-0.43212890625	-9.9212646484375E-6	1.25 V
-0.4345703125	-9.3719482421875E-6	1.25 V
-0.43701171875	-9.149169921875E-6	1.25 V
-0.439453125	-9.710693359375E-6	1.25 V
-0.44189453125	-9.65576171875E-6	1.25 V
-0.4443359375	-9.197998046875E-6	1.25 V
-0.44677734375	-9.7503662109375E-6	1.25 V
-0.44921875	-1.00433349609375E-5	1.25 V
-0.45166015625	-9.7076416015625E-6	1.25 V
-0.4541015625	-9.5703125E-6	1.25 V
-0.45654296875	-9.722900390625E-6	1.25 V
-0.458984375	-9.9212646484375E-6	1.25 V
-0.46142578125	-9.7442626953125E-6	1.25 V
-0.4638671875	-1.0015869140625E-5	1.25 V
-0.46630859375	-9.5611572265625E-6	1.25 V
-0.46875	-1.0009765625E-5	1.25 V
-0.47119140625	-9.7869873046875E-6	1.25 V
-0.4736328125	-9.55810546875E-6	1.25 V
-0.47607421875	-9.94873046875E-6	1.25 V
-0.478515625	-9.9639892578125E-6	1.25 V
-0.48095703125	-9.9822998046875E-6	1.25 V
-0.4833984375	-9.674072265625E-6	1.25 V
-0.48583984375	-1.0052490234375E-5	1.25 V
-0.48828125	-1.00006103515625E-5	1.25 V
-0.49072265625	-1.00006103515625E-5	1.25 V
-0.4931640625	-9.7198486328125E-6	1.25 V
-0.49560546875	-1.0113525390625E-5	1.25 V
-0.498046875	-1.0101318359375E-5	1.25 V
-0.50048828125	-1.031494140625E-5	1.25 V
-0.5029296875	-9.771728515625E-6	1.25 V
-0.50537109375	-9.912109375E-6	1.25 V
-0.5078125	-1.01837158203125E-5	1.25 V
-0.51025390625	-1.02813720703125E-5	1.25 V
-0.5126953125	-1.02813720703125E-5	1.25 V
-0.51513671875	-1.07147216796875E-5	1.25 V
-0.517578125	-1.08489990234375E-5	1.25 V
-0.52001953125	-1.04644775390625E-5	1.25 V
-0.5224609375	-1.08062744140625E-5	1.25 V
-0.52490234375	-1.00738525390625E-5	1.25 V
-0.52734375	-1.065673828125E-5	1.25 V
-0.52978515625	-1.0614013671875E-5	1.25 V
-0.5322265625	-1.038818359375E-5	1.25 V
-0.53466796875	-1.05926513671875E-5	1.25 V
-0.537109375	-1.08917236328125E-5	1.25 V
-0.53955078125	-1.07757568359375E-5	1.25 V
-0.5419921875	-1.04400634765625E-5	1.25 V
-0.54443359375	-1.0693359375E-5	1.25 V
-0.546875	-1.08673095703125E-5	1.25 V
-0.54931640625	-1.08856201171875E-5	1.25 V
-0.5517578125	-1.08551025390625E-5	1.25 V
-0.55419921875	-1.07574462890625E-5	1.25 V
-0.556640625	-1.1090087890625E-5	1.25 V
-0.55908203125	-1.12152099609375E-5	1.25 V
-0.5615234375	-1.053466796875E-5	1.25 V
-0.56396484375	-1.1102294921875E-5	1.25 V
-0.56640625	-1.11602783203125E-5	1.25 V
-0.56884765625	-1.10382080078125E-5	1.25 V
-0.5712890625	-1.1053466796875E-5	1.25 V
-0.57373046875	-1.1260986328125E-5	1.25 V
-0.576171875	-1.123046875E-5	1.25 V
-0.57861328125	-1.13037109375E-5	1.25 V
-0.5810546875	-1.11572265625E-5	1.25 V
-0.58349609375	-1.1151123046875E-5	1.25 V
-0.5859375	-1.14105224609375E-5	1.25 V
-0.58837890625	-1.13922119140625E-5	1.25 V
-0.5908203125	-1.09161376953125E-5	1.25 V
-0.59326171875	-1.1102294921875E-5	1.25 V
-0.595703125	-1.14715576171875E-5	1.25 V
-0.59814453125	-1.14013671875E-5	1.25 V
-0.6005859375	-1.14471435546875E-5	1.25 V
-0.60302734375	-1.1834716796875E-5	1.25 V
-0.60546875	-1.16668701171875E-5	1.25 V
-0.60791015625	-1.15814208984375E-5	1.25 V
-0.6103515625	-1.15509033203125E-5	1.25 V
-0.61279296875	-1.1334228515625E-5	1.25 V
-0.615234375	-1.12640380859375E-5	1.25 V
-0.61767578125	-1.143798828125E-5	1.25 V
-0.6201171875	-1.1358642578125E-5	1.25 V
-0.62255859375	-1.185302734375E-5	1.25 V
-0.625	-1.1572265625E-5	1.25 V
-0.62744140625	-1.15234375E-5	1.25 V
-0.6298828125	-1.17950439453125E-5	1.25 V
-0.63232421875	-1.2115478515625E-5	1.25 V
-0.634765625	-1.182861328125E-5	1.25 V
-0.63720703125	-1.23046875E-5	1.25 V
-0.6396484375	-1.21612548828125E-5	1.25 V
-0.64208984375	-1.19049072265625E-5	1.25 V
-0.64453125	-1.19537353515625E-5	1.25 V
-0.64697265625	-1.175537109375E-5	1.25 V
-0.6494140625	-1.18927001953125E-5	1.25 V
-0.65185546875	-1.1663818359375E-5	1.25 V
-0.654296875	-1.1993408203125E-5	1.25 V
-0.65673828125	-1.2152099609375E-5	1.25 V
-0.6591796875	-1.19903564453125E-5	1.25 V
-0.66162109375	-1.229248046875E-5	1.25 V
-0.6640625	-1.21246337890625E-5	1.25 V
-0.66650390625	-1.2225341796875E-5	1.25 V
-0.6689453125	-1.25152587890625E-5	1.25 V
-0.67138671875	-1.23687744140625E-5	1.25 V
-0.673828125	-1.236572265625E-5	1.25 V
-0.67626953125	-1.23382568359375E-5	1.25 V
-0.6787109375	-1.21185302734375E-5	1.25 V
-0.68115234375	-1.2078857421875E-5	1.25 V
-0.68359375	-1.26739501953125E-5	1.25 V
-0.68603515625	-1.2481689453125E-5	1.25 V
-0.6884765625	-1.25396728515625E-5	1.25 V
-0.69091796875	-1.26861572265625E-5	1.25 V
-0.693359375	-1.30035400390625E-5	1.25 V
-0.69580078125	-1.2628173828125E-5	1.25 V
-0.6982421875	-1.241455078125E-5	1.25 V
-0.70068359375	-1.2384033203125E-5	1.25 V
-0.703125	-1.2432861328125E-5	1.25 V
-0.70556640625	-1.26678466796875E-5	1.25 V
-0.7080078125	-1.27349853515625E-5	1.25 V
-0.71044921875	-1.26861572265625E-5	1.25 V
-0.712890625	-1.30706787109375E-5	1.25 V
-0.71533203125	-1.27471923828125E-5	1.25 V
-0.7177734375	-1.28570556640625E-5	1.25 V
-0.72021484375	-1.3165283203125E-5	1.25 V
-0.72265625	-1.28875732421875E-5	1.25 V
-0.72509765625	-1.27410888671875E-5	1.25 V
-0.7275390625	-1.28814697265625E-5	1.25 V
-0.72998046875	-1.29547119140625E-5	1.25 V
-0.732421875	-1.28509521484375E-5	1.25 V
-0.73486328125	-1.29180908203125E-5	1.25 V
-0.7373046875	-1.29058837890625E-5	1.25 V
-0.73974609375	-1.33056640625E-5	1.25 V
-0.7421875	-1.31317138671875E-5	1.25 V
-0.74462890625	-1.2994384765625E-5	1.25 V
-0.7470703125	-1.2921142578125E-5	1.25 V
-0.74951171875	-1.336669921875E-5	1.25 V
-0.751953125	-1.33514404296875E-5	1.25 V
-0.74951171875	-1.31439208984375E-5	1.25 V
-0.7470703125	-1.29425048828125E-5	1.25 V
-0.74462890625	-1.32110595703125E-5	1.25 V
-0.7421875	-1.28143310546875E-5	1.25 V
-0.73974609375	-1.26556396484375E-5	1.25 V
-0.7373046875	-1.25762939453125E-5	1.25 V
-0.73486328125	-1.2322998046875E-5	1.25 V
-0.732421875	-1.26678466796875E-5	1.25 V
-0.72998046875	-1.2664794921875E-5	1.25 V
-0.7275390625	-1.2451171875E-5	1.25 V
-0.72509765625	-1.324462890625E-5	1.25 V
-0.72265625	-1.26678466796875E-5	1.25 V
-0.72021484375	-1.217041015625E-5	1.25 V
-0.7177734375	-1.24755859375E-5	1.25 V
-0.71533203125	-1.23138427734375E-5	1.25 V
-0.712890625	-1.1810302734375E-5	1.25 V
-0.71044921875	-1.171875E-5	1.25 V
-0.7080078125	-1.197509765625E-5	1.25 V
-0.70556640625	-1.19537353515625E-5	1.25 V
-0.703125	-1.18194580078125E-5	1.25 V
-0.70068359375	-1.22772216796875E-5	1.25 V
-0.6982421875	-1.202392578125E-5	1.25 V
-0.69580078125	-1.17584228515625E-5	1.25 V
-0.693359375	-1.1663818359375E-5	1.25 V
-0.69091796875	-1.1676025390625E-5	1.25 V
-0.6884765625	-1.15753173828125E-5	1.25 V
-0.68603515625	-1.1676025390625E-5	1.25 V
-0.68359375	-1.126708984375E-5	1.25 V
-0.68115234375	-1.1181640625E-5	1.25 V
-0.6787109375	-1.12518310546875E-5	1.25 V
-0.67626953125	-1.0980224609375E-5	1.25 V
-0.673828125	-1.11328125E-5	1.25 V
-0.67138671875	-1.1285400390625E-5	1.25 V
-0.6689453125	-1.1236572265625E-5	1.25 V
-0.66650390625	-1.1358642578125E-5	1.25 V
-0.6640625	-1.085205078125E-5	1.25 V
-0.66162109375	-1.0845947265625E-5	1.25 V
-0.6591796875	-1.1016845703125E-5	1.25 V
-0.65673828125	-1.06292724609375E-5	1.25 V
-0.654296875	-1.077880859375E-5	1.25 V
-0.65185546875	-1.072998046875E-5	1.25 V
-0.6494140625	-1.072998046875E-5	1.25 V
-0.64697265625	-1.07635498046875E-5	1.25 V
-0.64453125	-1.019287109375E-5	1.25 V
-0.64208984375	-1.06842041015625E-5	1.25 V
-0.6396484375	-1.07757568359375E-5	1.25 V
-0.63720703125	-1.03271484375E-5	1.25 V
-0.634765625	-1.0791015625E-5	1.25 V
-0.63232421875	-1.007080078125E-5	1.25 V
-0.6298828125	-9.7808837890625E-6	1.25 V
-0.62744140625	-1.0211181640625E-5	1.25 V
-0.625	-9.9884033203125E-6	1.25 V
-0.62255859375	-9.7259521484375E-6	1.25 V
-0.6201171875	-9.65576171875E-6	1.25 V
-0.61767578125	-9.710693359375E-6	1.25 V
-0.615234375	-9.6405029296875E-6	1.25 V
-0.61279296875	-9.9945068359375E-6	1.25 V
-0.6103515625	-9.7259521484375E-6	1.25 V
-0.60791015625	-9.5916748046875E-6	1.25 V
-0.60546875	-9.70458984375E-6	1.25 V
-0.60302734375	-9.2803955078125E-6	1.25 V
-0.6005859375	-9.5367431640625E-6	1.25 V
-0.59814453125	-9.564208984375E-6	1.25 V
-0.595703125	-9.4879150390625E-6	1.25 V
-0.59326171875	-9.2926025390625E-6	1.25 V
-0.5908203125	-9.3048095703125E-6	1.25 V
-0.58837890625	-9.552001953125E-6	1.25 V
-0.5859375	-8.8226318359375E-6	1.25 V
-0.58349609375	-9.271240234375E-6	1.25 V
-0.5810546875	-9.02099609375E-6	1.25 V
-0.57861328125	-9.0179443359375E-6	1.25 V
-0.576171875	-8.8531494140625E-6	1.25 V
-0.57373046875	-8.880615234375E-6	1.25 V
-0.5712890625	-8.5052490234375E-6	1.25 V
-0.56884765625	-8.7371826171875E-6	1.25 V
-0.56640625	-8.251953125E-6	1.25 V
-0.56396484375	-8.1787109375E-6	1.25 V
-0.5615234375	-8.5723876953125E-6	1.25 V
-0.55908203125	-8.5418701171875E-6	1.25 V
-0.556640625	-8.2183837890625E-6	1.25 V
-0.55419921875	-8.416748046875E-6	1.25 V
-0.5517578125	-8.4869384765625E-6	1.25 V
-0.54931640625	-8.2061767578125E-6	1.25 V
-0.546875	-8.8348388671875E-6	1.25 V
-0.54443359375	-8.3221435546875E-6	1.25 V
-0.5419921875	-7.8277587890625E-6	1.25 V
-0.53955078125	-7.9681396484375E-6	1.25 V
-0.537109375	-8.0291748046875E-6	1.25 V
-0.53466796875	-7.8033447265625E-6	1.25 V
-0.5322265625	-7.9925537109375E-6	1.25 V
-0.52978515625	-7.9681396484375E-6	1.25 V
-0.52734375	-7.659912109375E-6	1.25 V
-0.52490234375	-7.72705078125E-6	1.25 V
-0.5224609375	-7.8460693359375E-6	1.25 V
-0.52001953125	-7.6080322265625E-6	1.25 V
-0.517578125	-7.489013671875E-6	1.25 V
-0.51513671875	-7.5836181640625E-6	1.25 V
-0.5126953125	-7.0953369140625E-6	1.25 V
-0.51025390625	-7.855224609375E-6	1.25 V
-0.5078125	-7.32421875E-6	1.25 V
-0.50537109375	-7.0770263671875E-6	1.25 V
-0.5029296875	-6.92138671875E-6	1.25 V
-0.50048828125	-7.06787109375E-6	1.25 V
-0.498046875	-7.0526123046875E-6	1.25 V
-0.49560546875	-7.18994140625E-6	1.25 V
-0.4931640625	-7.0831298828125E-6	1.25 V
-0.49072265625	-7.0770263671875E-6	1.25 V
-0.48828125	-6.6436767578125E-6	1.25 V
-0.48583984375	-6.9793701171875E-6	1.25 V
-0.4833984375	-6.4971923828125E-6	1.25 V
-0.48095703125	-7.177734375E-6	1.25 V
-0.478515625	-6.6253662109375E-6	1.25 V
-0.47607421875	-6.494140625E-6	1.25 V
-0.4736328125	-6.7779541015625E-6	1.25 V
-0.47119140625	-6.79931640625E-6	1.25 V
-0.46875	-6.23779296875E-6	1.25 V
-0.46630859375	-6.4910888671875E-6	1.25 V
-0.4638671875	-6.4361572265625E-6	1.25 V
-0.46142578125	-6.341552734375E-6	1.25 V
-0.458984375	-5.9539794921875E-6	1.25 V
-0.45654296875	-5.99365234375E-6	1.25 V
-0.4541015625	-6.1859130859375E-6	1.25 V
-0.45166015625	-6.1492919921875E-6	1.25 V
-0.44921875	-5.8868408203125E-6	1.25 V
-0.44677734375	-5.682373046875E-6	1.25 V
-0.4443359375	-5.6060791015625E-6	1.25 V
-0.44189453125	-5.7098388671875E-6	1.25 V
-0.439453125	-5.615234375E-6	1.25 V
-0.43701171875	-5.6488037109375E-6	1.25 V
-0.4345703125	-6.0150146484375E-6	1.25 V
-0.43212890625	-5.511474609375E-6	1.25 V
-0.4296875	-5.413818359375E-6	1.25 V
-0.42724609375	-5.6732177734375E-6	1.25 V
-0.4248046875	-5.987548828125E-6	1.25 V
-0.42236328125	-5.37109375E-6	1.25 V
-0.419921875	-5.2886962890625E-6	1.25 V
-0.41748046875	-4.974365234375E-6	1.25 V
-0.4150390625	-5.6549072265625E-6	1.25 V
-0.41259765625	-5.1605224609375E-6	1.25 V
-0.41015625	-5.5572509765625E-6	1.25 V
-0.40771484375	-5.438232421875E-6	1.25 V
-0.4052734375	-5.1422119140625E-6	1.25 V
-0.40283203125	-4.876708984375E-6	1.25 V
-0.400390625	-4.4891357421875E-6	1.25 V
-0.39794921875	-4.876708984375E-6	1.25 V
-0.3955078125	-4.6844482421875E-6	1.25 V
-0.39306640625	-4.736328125E-6	1.25 V
-0.390625	-4.2236328125E-6	1.25 V
-0.38818359375	-4.22821044921875E-6	1.25 V
-0.3857421875	-4.31549072265625E-6	1.25 V
-0.38330078125	-4.1705322265625E-6	1.25 V
-0.380859375	-4.02374267578125E-6	1.25 V
-0.37841796875	-3.88763427734375E-6	1.25 V
-0.3759765625	-4.18487548828125E-6	1.25 V
-0.37353515625	-3.47564697265625E-6	1.25 V
-0.37109375	-3.731689453125E-6	1.25 V
-0.36865234375	-3.98651123046875E-6	1.25 V
-0.3662109375	-3.7860107421875E-6	1.25 V
-0.36376953125	-3.85955810546875E-6	1.25 V
-0.361328125	-3.7939453125E-6	1.25 V
-0.35888671875	-3.7237548828125E-6	1.25 V
-0.3564453125	-3.69384765625E-6	1.25 V
-0.35400390625	-3.54888916015625E-6	1.25 V
-0.3515625	-3.49639892578125E-6	1.25 V
-0.34912109375	-3.67095947265625E-6	1.25 V
-0.3466796875	-3.3758544921875E-6	1.25 V
-0.34423828125	-3.52752685546875E-6	1.25 V
-0.341796875	-3.3099365234375E-6	1.25 V
-0.33935546875	-3.42315673828125E-6	1.25 V
-0.3369140625	-3.0926513671875E-6	1.25 V
-0.33447265625	-3.20831298828125E-6	1.25 V
-0.33203125	-3.087158203125E-6	1.25 V
-0.32958984375	-3.194580078125E-6	1.25 V
