Frequency	Z'	Z''
Hz	Ohm	Ohm
		0 V
1000000	9.12336698648167	4.79177525500242
696430	9.66130344821345	-4.41435848314882
485020	9.93261403941202	-13.675885262814
337780	10.1936595703105	-24.5956448886222
235240	10.5334001986563	-38.7329251828097
163830	11.3526718857286	-57.8865558629976
114100	12.5245137553434	-84.4925088473652
79460	14.5243874674146	-121.864756517271
55338	17.9446979376783	-174.95695758102
38539	23.987323805661	-249.113802767867
26840	34.9525786978191	-354.528236579682
18692	55.4005569592181	-502.276870166647
13018	87.1697414322557	-706.493761281701
9066	142.619948020902	-989.13483736633
6313.9	229.888950442833	-1386.89081375353
4397.2	389.155912259865	-1913.00443661811
3062.3	636.163819464668	-2598.14333222197
2132.7	1014.83802178396	-3524.17200586961
1485.3	1734.56026225799	-4791.0858492387
1034.4	2787.47424885976	-6142.70912031353
720.38	4174.32944875927	-7728.63259471853
501.7	6695.27989002067	-9192.04328985351
349.4	9875.7535710384	-10349.5028319935
243.33	12305.2582079979	-11163.2542544338
169.46	17285.5097969489	-11882.5795759361
118.02	19343.9923245532	-9385.54483533015
82.193	22478.5504139589	-11597.6247829375
57.241	22262.2473732347	-12090.4606539807
39.865	18900.4713247495	-6273.63185552641
27.763	22744.2284748699	-1510.02069658738
19.335	28600.9359709889	-5696.93575963356
13.466	26757.1352626989	-2094.66098912395
9.3778	27081.9612285547	-4625.55783567848
6.531	25551.2252682614	-3673.15032215846
4.5484	34881.9357412558	-5335.13962513309
3.1676	26645.1384710715	-7033.73824311787
2.206	33606.1077958353	-6218.44037206747
1.5364	-29631.0289588339	-4599.47751249683
1.07	28367.0500378115	56.0727952436911
0.74516	37835.4020967901	-5980.15446276145
0.51895	39222.3489054385	-6902.35250278466
0.36141	41201.8151806883	-7112.24516344798
0.2517	43322.5799902074	-7227.60301398964
0.17529	45273.262726097	-7223.24775909941
0.12208	46873.903337503	-6014.36934109787
0.085019	47839.7258725941	-5272.54595269813
0.05921	49584.0139305427	-4598.91418126993
0.041236	50970.7719422979	-3504.98780443908
0.028718	50512.4310844887	-3375.76764047705
0.02	52003.622389286	-2330.15135401396
