Frequency	Z'	Z''
Hz	Ohm	Ohm
		0.2 V
1000000	8.90526911498794	4.58436291457628
696430	9.70031278203258	-4.42877490022231
485020	9.96799015029443	-13.7287017012558
337780	10.2065645328027	-24.6465410463133
235240	10.5374563509269	-38.8215694646985
163830	11.2893272646925	-57.8855425754051
114100	12.559335830085	-84.4901471226467
79460	14.5248587525568	-121.791780845937
55338	17.7472213905499	-174.598469956872
38539	24.0659835513853	-248.992358342594
26840	35.3894760531989	-353.83955909085
18692	52.343924457225	-500.882047580667
13018	85.8351593745857	-705.435877582748
9066	140.015476374001	-988.83346664029
6313.9	239.997309720715	-1375.32754445008
4397.2	382.019972309075	-1910.2629823905
3062.3	635.860779346529	-2617.73525445327
2132.7	990.369717304676	-3506.08676848307
1485.3	1643.92148780567	-4731.34858767534
1034.4	2473.87547946435	-6390.7947001556
720.38	4281.18363306259	-8083.94120059368
501.7	6294.56130599065	-10038.679692576
349.4	10075.1034389072	-10831.929779368
243.33	12814.3038990906	-11322.2165543051
169.46	17099.5362134814	-13379.7804477446
118.02	19186.1035411143	-10279.7653646663
82.193	23591.948810472	-5872.99358693343
57.241	23284.5815619959	-10359.4342311032
39.865	18522.7434571178	-9649.18810807635
27.763	14137.9056123171	-7232.59289140454
19.335	26837.4483348774	-2904.32677901096
13.466	27838.0487415744	-6983.08914863195
9.3778	29559.6170623267	-2155.17527217837
6.531	26666.5769783036	-4191.73005447273
4.5484	32308.4830349205	-3579.69073609479
3.1676	40407.413236513	9882.45846633266
2.206	37673.2835518311	-17289.1223664768
1.5364	20111.6899315212	-3673.62302268286
1.07	16595.610186328	-4313.80261001016
0.74516	34381.5489604159	-4997.36466684008
0.51895	35751.67100835	-4231.17493424482
0.36141	36234.0825396692	-4791.46904843583
0.2517	38262.8198396563	-4837.46732277886
0.17529	39288.0261369838	-4122.45902444423
0.12208	40393.8395586783	-3452.32312187742
0.085019	42016.1043929591	-2754.09698655672
0.05921	41343.861962614	-2788.0465841157
0.041236	41934.7335247893	-2434.51672806567
0.028718	42512.5346071794	-1611.8968980907
0.02	42100.336640431	-1327.98571497118
