Frequency	Z'	Z''
Hz	Ohm	Ohm
		0.3 V
1000000	9.15283506148541	4.68299520172556
696430	9.71519229699631	-4.40699372722204
485020	10.0159167945271	-13.7541405301422
337780	10.2228914384047	-24.6843531005491
235240	10.5720692023273	-38.8394150711634
163830	11.3852476657892	-57.856039798931
114100	12.6313319167349	-84.5090154017543
79460	14.6007690503828	-121.663102966435
55338	18.3817861849451	-174.625229440668
38539	24.6972854900925	-248.844483788635
26840	35.5505725492062	-353.600342791769
18692	55.7101875055708	-500.955907378971
13018	87.9052666299029	-704.205972114257
9066	142.477032675443	-987.916120746811
6313.9	230.549461838722	-1379.79661024132
4397.2	389.909196842606	-1904.39251004254
3062.3	647.101170879493	-2612.5007028023
2132.7	1079.55942286256	-3539.92152794917
1485.3	1699.55082860254	-4718.93032294639
1034.4	2748.78030415432	-6079.1015827176
720.38	4354.68000656398	-7607.94360167373
501.7	6537.65814263847	-9195.62973006491
349.4	9967.05330367205	-9985.61408369432
243.33	12981.8000278499	-10408.1805075795
169.46	16158.8335976182	-11165.2062108593
118.02	17040.1841671253	-8693.85963387317
82.193	18390.3460743835	-8842.67202328335
57.241	26330.5368007517	5365.2886376382
39.865	24312.6350711407	-3298.89381283399
27.763	22704.4289716306	4214.6917731424
19.335	23913.0257924445	-4354.15409828489
13.466	24550.4046310309	600.381057201977
9.3778	21453.8444699946	916.237448318414
6.531	23135.1289145882	93.3365805710325
4.5484	28637.6445036487	-1140.30555989911
3.1676	25563.8633142029	2984.05534618774
2.206	25425.3251879166	-2444.78696351151
1.5364	5181.68113828533	-22859.5762929436
1.07	12692.6309198089	-4799.25999818827
0.74516	24669.6164982851	207.959486029846
0.51895	24770.8526569744	412.396554870803
0.36141	24794.3487632232	753.679077852314
0.2517	24122.0346113253	1167.73006047426
0.17529	23629.3855433244	938.276299899224
0.12208	23574.9287092557	703.385885724061
0.085019	23430.9308486373	664.271029629688
0.05921	23162.3777371147	732.174313728372
0.041236	23065.5192867687	747.192007132066
0.028718	23093.692710566	624.329281103881
0.02	22869.8945844191	275.489376712385
