Frequency	Z'	Z''
Hz	Ohm	Ohm
		0.4 V
1000000	9.18396426196916	4.64502635550764
696430	9.74393923301701	-4.46508374499778
485020	10.0328429221269	-13.7145651699396
337780	10.2932010431535	-24.6814687310782
235240	10.6887509355444	-38.8138419978492
163830	11.6064228020726	-57.749403505848
114100	12.9568490814902	-84.3086369458866
79460	15.4463574231849	-121.541904011107
55338	19.534877350509	-174.253900801775
38539	27.7252320741327	-248.485115033909
26840	41.0534741495844	-351.927703818224
18692	65.4810663097492	-497.432788077182
13018	109.548784100299	-697.745443821201
9066	185.422969410632	-969.471080560933
6313.9	318.745712533212	-1339.98804992087
4397.2	524.565417793294	-1821.39764653749
3062.3	891.648977981351	-2434.77611039825
2132.7	1474.97696046019	-3148.27966129871
1485.3	2243.87188130408	-3923.04229594557
1034.4	3591.08194484305	-4648.17738512237
720.38	5063.41210878979	-5095.67005109011
501.7	6833.79386343288	-5135.4492100429
349.4	8406.46407022143	-4569.16263218745
243.33	9426.78809978425	-3918.8079698898
169.46	10170.7834941849	-2868.8395029817
118.02	11045.4724699401	-2283.31251842019
82.193	10816.2818137197	-1071.47878850985
57.241	12326.3748485467	-1608.2268715513
39.865	10263.289299799	-1679.39734539537
27.763	12199.9239499058	5495.26282842074
19.335	11070.0078179399	985.099631198146
13.466	10340.5430890938	901.617681999722
9.3778	10665.3230104793	1246.98734898315
6.531	10342.0492309676	1363.46835658764
4.5484	9574.53448629111	1735.21541980676
3.1676	9238.61901101915	3471.45930991719
2.206	9331.37449074212	2059.9318048843
1.5364	5209.27995359655	4202.45861093231
1.07	7946.74976347164	2682.88055576397
0.74516	7415.9148955666	1763.036329597
0.51895	6962.49086576897	1594.19874013468
0.36141	6587.87974357306	1482.11659607422
0.2517	6215.12654793182	1350.49326191947
0.17529	5989.5230165684	1102.67801641052
0.12208	5718.51295119261	932.285347069834
0.085019	5667.27403908049	817.895140505018
0.05921	5613.12347369065	686.453240316107
0.041236	5603.68203124384	489.162659313108
0.028718	5628.32402902911	325.36325280266
0.02	5685.21522346499	164.605370960316
