Frequency	Z'	Z''
Hz	Ohm	Ohm
		0.6 V
1000000	9.28352340697292	4.67232224289383
696430	9.97210046698716	-4.44065237135151
485020	10.4434161070893	-13.6318955478249
337780	11.0951721813	-24.4976526450752
235240	12.2401959106888	-38.4623199083352
163830	14.6761530855487	-57.0539927218425
114100	18.8710931825894	-82.7769314819769
79460	26.9731429319869	-118.15904836917
55338	42.3433357817696	-166.616431517662
38539	70.5596629734965	-230.170907572253
26840	120.474044809154	-310.307659209398
18692	204.793451533784	-401.02255361899
13018	332.801566377457	-486.302310432714
9066	501.718287188815	-541.000961012502
6313.9	693.340457528012	-540.664133945668
4397.2	860.346029169501	-488.149882105528
3062.3	988.674648083136	-403.113644491473
2132.7	1088.13091827777	-313.881582096031
1485.3	1137.42050640854	-233.219851524874
1034.4	1174.60734647571	-165.070334529559
720.38	1190.53946768479	-104.757861432384
501.7	1201.78842511685	-62.4562996343353
349.4	1200.02283136526	-27.7360751580535
243.33	1200.29929465206	12.9994687582052
169.46	1189.87280819526	46.6515483789701
118.02	1180.67093755288	72.864547906167
82.193	1157.73998870841	89.2383010797799
57.241	1138.49070444619	118.927737044829
39.865	1097.62402187215	121.625902211962
27.763	1094.63084063468	180.708376873005
19.335	1040.02163825608	184.24711649141
13.466	986.937152636969	214.49547986595
9.3778	939.097722145087	221.417087204983
6.531	874.572331863072	240.630283611847
4.5484	816.719308839586	245.499109184419
3.1676	757.779117822566	240.32060295994
2.206	695.016007243561	224.586880967706
1.5364	634.998860073529	229.579747774176
1.07	604.876406438847	204.643878916876
0.74516	561.460292349066	177.179091272795
0.51895	530.802593388979	152.160708431773
0.36141	502.748029444702	130.42788037443
0.2517	481.436727050015	115.149127919378
0.17529	460.035617485035	82.6307988084473
0.12208	447.573580867426	79.2831946304648
0.085019	458.42169053506	60.8716268381587
0.05921	461.728589869603	33.1555633547983
0.041236	459.297391727443	9.10314006806425
0.028718	459.767688032736	-5.91342747556247
0.02	465.708986616911	-17.624893003759
