Frequency	Z'	Z''
Hz	Ohm	Ohm
		1.0 V
1000000	9.9031275470541	4.75025459969239
696430	11.2641569856798	-4.05649175457483
485020	12.9806403732665	-12.7923083648995
337780	16.0941123535477	-22.6225141419598
235240	21.7755217404368	-34.0332389832328
163830	31.7435444081737	-46.228485724844
114100	47.6517710802684	-58.2508099840695
79460	69.2843780610121	-65.3183575942065
55338	92.978581253162	-64.5918256412861
38539	113.79614539024	-56.5495473376915
26840	128.367399829266	-44.8479707187761
18692	136.944180192001	-32.8932288835297
13018	141.398276984852	-22.9881286683231
9066	143.66426337861	-15.4453105134739
6313.9	144.129513576982	-9.75867125858519
4397.2	144.118849019111	-5.76100142826679
3062.3	143.738324592188	-2.76721735753537
2132.7	143.155787546763	-0.458315390806364
1485.3	142.577499003711	1.26453660470813
1034.4	141.909236081107	2.97753237013031
720.38	141.170207229544	4.80050523829543
501.7	140.125883541543	6.76111845116184
349.4	138.602058568599	9.08015560991644
243.33	136.642493722862	11.8085989976277
169.46	133.749376989667	14.6483561924839
118.02	130.008924475133	17.6787390033424
82.193	125.383304229165	20.5306782848085
57.241	119.900611651692	22.9488814504154
39.865	113.737522974444	25.1388527048647
27.763	107.497576320064	26.8634697401403
19.335	100.075489179399	28.2555184393888
13.466	92.1367547477828	28.8224622710528
9.3778	84.2676804052901	28.2868769717628
6.531	76.7152776821464	26.5164617284089
4.5484	70.4792398103179	24.0482324238587
3.1676	65.308577989815	21.2647717389343
2.206	60.4840767809013	18.5168172307495
1.5364	56.936332936873	16.0301682532904
1.07	53.4100649536151	13.534077319897
0.74516	51.3227138887541	11.0768152937927
0.51895	48.9942718293604	8.76148315769281
0.36141	47.4275942268438	6.60428128221567
0.2517	46.7997198154024	4.84784663794881
0.17529	45.5674622374078	3.1538189116145
0.12208	45.9733370793052	1.9982931730084
0.085019	46.472387024768	-0.162100776349069
0.05921	46.3081059964911	-1.83660127272332
0.041236	46.509986222142	-2.67634119358731
0.028718	47.2217875630846	-3.25447465997284
0.02	48.3870593755257	-3.78213103527818
