time,AV,AI
0.0,0.0,-1.14999e-09
0.160977,0.01,1.19949e-06
0.28102,0.02,2.34738e-06
0.401062,0.03,3.52515e-06
0.521104,0.04,4.7822e-06
0.641146,0.051,5.99841e-06
0.761188,0.061,7.28211e-06
0.88123,0.071,8.7717e-06
1.00127,0.081,9.83084e-06
1.14158,0.091,1.12746e-05
1.26214,0.101,1.26596e-05
1.38218,0.111,1.48316e-05
1.50222,0.121,1.71022e-05
1.62227,0.131,2.01799e-05
1.74231,0.141,2.6743e-05
1.86235,0.152,3.09586e-05
1.98239,0.162,3.39291e-05
2.10244,0.172,3.71688e-05
2.22248,0.182,4.45906e-05
2.3628,0.192,0.000155132
2.48284,0.202,0.000190638
2.60288,0.212,0.000235493
2.72293,0.222,0.00050032
2.84297,0.232,0.000500321
2.96301,0.242,0.00050032
3.08305,0.253,0.000500322
3.20309,0.263,0.000500322
3.32314,0.273,0.000500321
3.44318,0.283,0.000500321
3.56322,0.293,0.000500322
3.68326,0.303,0.000500322
3.80331,0.313,0.000500323
3.92335,0.323,0.000500324
4.04339,0.333,0.000500322
4.16344,0.343,0.000500322
4.28348,0.354,0.000500322
4.40352,0.364,0.000500322
4.52357,0.374,0.000500321
4.64361,0.384,0.000500321
4.76365,0.394,0.000500322
4.88369,0.404,0.000500323
5.00374,0.414,0.000500323
5.12378,0.424,0.000500322
5.24382,0.434,0.000500323
5.36386,0.444,0.000500323
5.48391,0.455,0.000500323
5.60395,0.465,0.000500324
5.72399,0.475,0.000500323
5.84403,0.485,0.000500325
5.96408,0.495,0.000500324
6.08412,0.505,0.000500325
6.20417,0.515,0.000500326
6.32421,0.525,0.000500326
6.44425,0.535,0.000500326
6.5643,0.545,0.000500325
6.68434,0.556,0.000500325
6.80438,0.566,0.000500324
6.92442,0.576,0.000500324
7.04446,0.586,0.000500325
7.16451,0.596,0.000500323
7.28455,0.606,0.000500324
7.40459,0.616,0.000500322
7.52463,0.626,0.000500322
7.64468,0.636,0.000500322
7.76472,0.646,0.000500322
7.88476,0.657,0.000500323
8.0048,0.667,0.000500323
8.12484,0.677,0.000500323
8.24489,0.687,0.000500321
8.36493,0.697,0.000500321
8.48498,0.707,0.000500322
8.60502,0.717,0.000500322
8.72506,0.727,0.000500322
8.8451,0.737,0.000500323
8.96514,0.747,0.000500323
9.08519,0.758,0.000500324
9.20523,0.768,0.000500324
9.32527,0.778,0.000500325
9.44531,0.788,0.000500324
9.56536,0.798,0.000500324
9.6854,0.808,0.000500325
9.80544,0.818,0.000500325
9.92548,0.828,0.000500325
10.0455,0.838,0.000500324
10.1656,0.848,0.000500324
10.2856,0.859,0.000500324
10.4057,0.869,0.000500324
10.5257,0.879,0.000500323
10.6457,0.889,0.000500325
10.7658,0.899,0.000500324
10.8858,0.909,0.000500324
11.0059,0.919,0.000500324
11.1259,0.929,0.000500325
11.246,0.939,0.000500324
11.366,0.949,0.000500325
11.486,0.96,0.000500324
11.6061,0.97,0.000500325
11.7261,0.98,0.000500326
11.8462,0.99,0.000500326
11.9662,1.0,0.000500324
0.0,1.0,0.000500323
0.120042,0.98,0.000500323
0.240084,0.959,0.000500323
0.360126,0.939,0.000500323
0.480168,0.918,0.000500324
0.600211,0.898,0.000500323
0.720253,0.878,0.000500323
0.840296,0.857,0.000500322
0.960338,0.837,0.000500322
1.08038,0.816,0.00050032
1.20042,0.796,0.00050032
1.32047,0.776,0.000500321
1.44051,0.755,0.000500321
1.56055,0.735,0.000500322
1.68059,0.714,0.000500321
1.80063,0.694,0.000500321
1.92068,0.673,0.000500321
2.04072,0.653,0.000500321
2.16077,0.633,0.000500322
2.28081,0.612,0.000500321
2.40085,0.592,0.000500321
2.52089,0.571,0.000500322
2.64093,0.551,0.000500323
2.76098,0.531,0.000500322
2.88102,0.51,0.000500323
3.00106,0.49,0.000500322
3.1211,0.469,0.000500322
3.24114,0.449,0.000500322
3.36119,0.429,0.000500322
3.48123,0.408,0.00050032
3.60127,0.388,0.00050032
3.72131,0.367,0.000500319
3.84135,0.347,0.000500319
3.9614,0.327,0.00050032
4.08144,0.306,0.00050032
4.20148,0.286,0.000500321
4.32153,0.265,0.00050032
4.44157,0.245,0.000500321
4.56161,0.224,0.00050032
4.68166,0.204,0.000500321
4.8017,0.184,0.000500321
4.92174,0.163,0.000500321
5.04178,0.143,0.000500321
5.16182,0.122,0.000500321
5.28187,0.102,0.000499031
5.40242,0.082,0.000402059
5.52246,0.061,0.00029876
5.64251,0.041,0.000200521
5.78285,0.02,9.78098e-05
5.96807,0.0,-5.51074e-08
0.0,0.0,-4.30089e-08
0.201845,-0.041,-0.000240333
0.321888,-0.082,-0.000477306
0.442443,-0.122,-0.000697067
0.562485,-0.163,-0.000907608
0.682527,-0.204,-0.00064059
0.80257,-0.245,-0.00077379
